objectid,filename,title,creator,creative_activity,date,datecreated,location,description,medium,technique,subject,blocksetting,dimensions,latitude,longitude,collection,source,identifier,type,format,language,rights,rightsstatement
quilt001,aic1.jpg,Album quilt,Sarah Ann Wilson,individual,1854,1854,New York,"An album quilt created during its height of the Baltimore style's popularity, which has some aesthetic overlaps. It depicts African American figures, possibly the creator's own family, in familial and domestic contexts. The heart in hand appears in Baltimore Album quilts as an Odd Fellow/Masonic symbol, but may have another meaning here.",Cotton plain weave; cotton and silk velvet; cotton embroidery thread; ink,appliquéd; pieced; embroidered; quilted,human; domestic; botanical; bird; animal; Odd Fellow/Masonic,straight;directional,217.1 x 255.8 cm,43.0000,-75.0000,The Art Institute Chicago,https://www.artic.edu/artworks/153633/album-quilt,1999.509,Image;StillImage,image/jpeg,eng,"The Art Institute of Chicago is pleased to offer free, unrestricted use of over 50,000 images of works in the collection believed to be in the public domain or to which the museum otherwise waives any copyright it might have. Such images are made available under Creative Commons Zero (CC0) designation and the Terms and Conditions of this website. The museum requests that you include the following caption with reproductions of the images: Artist. Title, Date. The Art Institute of Chicago. This information, which is available on the object page for each work, is also made available under Creative Commons Zero (CC0). Additional data about artworks in the collection is available using our public API.",https://creativecommons.org/publicdomain/zero/1.0/
quilt002,bma1.jpg,Prince George's county album quilt,Dorcas Godman Brashear Harvey; Kate Harvey; Ladies of Prince George's County,collaborative,1856,1856,"Prince Georges, Maryland",A quilt characterized by botanical blocks with distinctively jumbled orientations.,Cotton; cotton or silk embroidery thread; ink,appliquéd; quilted,botanical; abstract/geometric,straight;rotated/flipped,248.9 x 215.9 cm,38.8333,-76.8500,Baltimore Museum of Art,https://collection.artbma.org/objects/53729/album-quilt,2007.353,Image;StillImage,image/jpeg,eng,"The Baltimore Museum of Art’s web site may be used for educational and personal use that is non-commercial in nature, as outlined by Fair Use in title 17 of the United States Code (17 U.S.C § 107), as long as all copyright and proprietary notices are maintained and materials are appropriately cited.",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt003,bma2.jpg,Magruder and friends album quilt,Rebecca Penn Magruder and friends,collaborative,1846,1846/1852,"Baltimore, Maryland",An example of the style's dense blocks of symbolic imagery.,"Cotton; wool, cotton and/or silk embroidery thread, ink",appliquéd; quilted,botanical; bird; Odd Fellow/Masonic; political; biblical,straight;directional,302.6 x 294.6 cm,39.2833,-76.6000,Baltimore Museum of Art,https://collection.artbma.org/objects/85154/album-quilt,2012.584,Image;StillImage,image/jpeg,eng,"The Baltimore Museum of Art’s web site may be used for educational and personal use that is non-commercial in nature, as outlined by Fair Use in title 17 of the United States Code (17 U.S.C § 107), as long as all copyright and proprietary notices are maintained and materials are appropriately cited.",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt004,bma3.jpg,Child's album quilt,unknown,,1850,c. 1850,"Baltimore, Maryland",A small quilt with a traditional green and red color scheme.,Cotton; wool and silk embroidery thread,appliquéd; quilted,botanical; bird,straight;directional,121.3 x 99.1 cm,39.2833,-76.6000,Baltimore Museum of Art,https://collection.artbma.org/objects/43103/childs-album-quilt,1996.162,Image;StillImage,image/jpeg,eng,"The Baltimore Museum of Art’s web site may be used for educational and personal use that is non-commercial in nature, as outlined by Fair Use in title 17 of the United States Code (17 U.S.C § 107), as long as all copyright and proprietary notices are maintained and materials are appropriately cited.",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt005,cw1.jpg,Leonard Williams album quilt,Amanda Leonard Williams,individual,1860,c. 1860,"Talbot, Maryland","A late and simplified example of the style, notably without the dominant red and green color scheme.",Cotton; cotton embroidery thread; ink,appliquéd; reverse appliquéd; embroidered; quilted,botanical; bird; maritime; abstract/geometric,straight;directional,218.4 x 178 cm,38.7667,-76.0833,The Colonial Williamsburg Foundation Collections,https://emuseum.history.org/objects/97758/quilt-appliqued-album,2013.609.7,Image;StillImage,image/jpeg,eng,"By downloading, printing, or otherwise using Content, users agree to limit their use of such files to non-commercial personal, educational use or “fair use” under the law and to abide by any additional terms or restrictions applicable to the specific Content. Users agree further that they will not violate CWF's or any other party's proprietary rights in and to the Content and will cite the author and source of the Content as they would material from any printed work. Such citations must include “The Colonial Williamsburg Foundation.”",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt006,cw2.jpg,Eggleston Signature album quilt top,Frances Muse Eggleston,collaborative,1844,1844/1847,Maryland,"A quilt likely assembled by Frances Eggleston, wife of Methodist minister Rev. William George Eggleston, out of blocks made by friends from congregations on the circuit they served between 1844 and 1847.",Cotton plain weave; silk and cotton embroidery thread; ink,appliquéd; embroidered; unquilted,botanical; bird; maritime; abstract/geometric; migration; church congregation,straight;directional,228 x 224 cm,39.0000,-76.8333,The Colonial Williamsburg Foundation Collections,https://emuseum.history.org/objects/33070/quilt-top-eggleston-signature-album,1999.609.2,Image;StillImage,image/jpeg,eng,"By downloading, printing, or otherwise using Content, users agree to limit their use of such files to non-commercial personal, educational use or “fair use” under the law and to abide by any additional terms or restrictions applicable to the specific Content. Users agree further that they will not violate CWF's or any other party's proprietary rights in and to the Content and will cite the author and source of the Content as they would material from any printed work. Such citations must include “The Colonial Williamsburg Foundation.”",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt007,cw3.jpg,Ringgold monument album quilt,Sarah Anne Whittington Lankford Miles,collaborative,1847,1847/1853,"Baltimore, Maryland","Quilted by Sarah Anne Whittington Lankford Miles from professionally made blocks purchased at an auction held in Baltimore by the Order of the Masons. One block is a memorial of Major Samuel Ringgold, a Maryland soldier who died during the Mexican-American war.","Cotton plain weave; raw cotton batting; cotton twill binding; wool, cotton, and silk embroidery thread; metal and glass beads; ink",appliquéd; reverse appliquéd; embroidered; beaded; quilted,botanical; bird; military; political; civic architecture ,straight;directional,251.4 x 213.3 cm,39.2833,-76.6000,The Colonial Williamsburg Foundation Collections,https://emuseum.history.org/objects/58956/quilt-appliqued-baltimore-album,1979.609.14,Image;StillImage,image/jpeg,eng,"By downloading, printing, or otherwise using Content, users agree to limit their use of such files to non-commercial personal, educational use or “fair use” under the law and to abide by any additional terms or restrictions applicable to the specific Content. Users agree further that they will not violate CWF's or any other party's proprietary rights in and to the Content and will cite the author and source of the Content as they would material from any printed work. Such citations must include “The Colonial Williamsburg Foundation.”",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt008,cw4.jpg,Civil monuments album quilt,unknown,,1850,c. 1850,"Baltimore, Maryland","An elaborately appliquéd quilt depicting four Baltimore and District of Columbia monuments. The eagle over the Washington monument holds a banner inscribed in Latin, ""E Pluribus Unum.""",Cotton plain weave; cotton tape; cotton quilting thread; silk embroidery thread; ink,appliquéd; reverse appliquéd; embroidered; quilted,botanical; bird; political; civic architecture,straight;rotated/flipped,228 x 230.8 cm,39.2833,-76.6000,The Colonial Williamsburg Foundation Collections,https://emuseum.history.org/objects/58859/quilt-baltimore-album-by-unknown-maker,1976.609.6,Image;StillImage,image/jpeg,"eng, lat","By downloading, printing, or otherwise using Content, users agree to limit their use of such files to non-commercial personal, educational use or “fair use” under the law and to abide by any additional terms or restrictions applicable to the specific Content. Users agree further that they will not violate CWF's or any other party's proprietary rights in and to the Content and will cite the author and source of the Content as they would material from any printed work. Such citations must include “The Colonial Williamsburg Foundation.”",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt009,cw5.jpg,Covington Palmatary album quilt,Lydia Covington Palmatary,individual,1850,c. 1845/1855,"Kent, Maryland","The diamond-shaped, on point blocks and wide sashing are a dramatic variation on the Baltimore style; the sideways design is better comprehended once placed on a bed.",Cotton plain weave; wool embroidery thread,appliquéd; embroidered; quilted,"botanical; Odd Fellow/Masonic; abstract/geometric",on point;rotated/flipped,254 x 264.2 cm,39.3000,-76.0333,The Colonial Williamsburg Foundation Collections,https://emuseum.history.org/objects/58724/quilt-maryland-appliqued-album,1973.609.3,Image;StillImage,image/jpeg,eng,"By downloading, printing, or otherwise using Content, users agree to limit their use of such files to non-commercial personal, educational use or “fair use” under the law and to abide by any additional terms or restrictions applicable to the specific Content. Users agree further that they will not violate CWF's or any other party's proprietary rights in and to the Content and will cite the author and source of the Content as they would material from any printed work. Such citations must include “The Colonial Williamsburg Foundation.”",https://rightsstatements.org/page/InC-NC/1.0/?language=en
quilt010,cw6.jpg,Danner album quilt,Eve Danner; Deborah Ecker Danner; Julia E. Danner,collaborative,1856,c. 1856,"Frederick, Maryland","A quilt believed to be made by three sisters-in-law, inscribed in ink with a verse from the Bible, Ecclesiastes 12:1.","Cotton plain weave; wool, silk, and cotton embroidery thread; ink",appliquéd; reverse appliquéd; embroidered; quilted,botanical; biblical; Odd Fellow/Masonic,straight;rotated/flipped,242 x 246 cm,39.4667,-77.4000,The Colonial Williamsburg Foundation Collections,https://emuseum.history.org/objects/58957/quilt-appliqued-maryland-album,1979.609.15,Image;StillImage,image/jpeg,eng,"By downloading, printing, or otherwise using Content, users agree to limit their use of such files to non-commercial personal, educational use or “fair use” under the law and to abide by any additional terms or restrictions applicable to the specific Content. Users agree further that they will not violate CWF's or any other party's proprietary rights in and to the Content and will cite the author and source of the Content as they would material from any printed work. Such citations must include “The Colonial Williamsburg Foundation.”",https://rightsstatements.org/page/InC-NC/1.0/?language=en
